code,category_friendly_name,examples,category,parent_category
62000,"Pens, pencils, and related supplies","Desk Sets, Inkstands, Penholders, Pen Points, etc. | Erasers, All Types (Except Electric) | Ink: Drawing, Marking, and Writing | Ink Eradicators | Ink Refills (Not Ballpoint), Drawing and Writing | Lumber Marking Crayons | Pencils, Lead | Pencil Leads | Pencil Lengtheners | etc. | Pencils, Marking (Including Mechanical Types and Refills): ""Grease"" or ""China"" Types, etc. | Pencils, Marking (Not Grease or China Types) | Pens, Fountain | Pens (General Writing Types): Ball Point, Nylon Tip, Plastic Tip, etc. | Pen Refills (General Writing Types): Ball Point, Nylon Tip, Plastic Tip, etc. | Pen and Pencil Sets | Pens, Erasable Markers (For Porcelain Boards, etc.) | Pens, Marker Type (Including Highlighter Types) | Recycled Pens and Pencils","OFFICE SUPPLIES: ERASERS, INKS, LEADS, PENS, PENCILS, ETC.",Office supplies and furniture
98500,"Rental and lease: office, photographic, printing, and telecommunications equipment","Audio/Video Equipment and Accessory Rental or Lease | Copy Machines, Thermal Type, Rental or Lease | Copy Machines (For use by Engineers) Rental or Lease | Copy Machine, Plain Paper Type (Including Cost-Per-Copy Type Leases) Rental or Lease | Copy Machines, Digital and Analog Types, Rental or Lease | Coolers, Drinking Water, Rental or Lease | Duplicating Machines (All Types), Rental or Lease | Filing Systems Rental or Lease | Intercom and Other Sound Equipment Rental or Lease | Library Machine Rental or Lease | Mailing Equipment Including Postage Meter Rental or Lease | Microfiche/Microfilm Equipment and Accessory Rental or Lease | Office Machines, Equipment, and Accessories (All) Rental or Lease | Postal Equipment Rental or Lease (Including Post Office Box Rentals) | Photographic and Recording Equipment Rental or Lease | Plant (Nursery Stock) Leasing Services | Printing Plant Equipment and Supplies Rental or Lease | Radio and Telecommunications Equipment and Accessory Rental or Lease (Including Radio Towers) | Signs, Message Boards and Centers, etc., Rental or Lease | Software, Computer, Rental or Lease | Teleconference Systems Rental or Lease | Telephone Systems and Portable Phones (Including Pagers) Rental or Lease | Television Equipment and Accessories Rental or Lease | Ticket Dispensing and Collection Equipment Rental or Lease | Visual Education Equipment and Supplies Rental or Lease | Voice Mail Systems Rental or Lease | Voting Machine Rental or Lease","RENTAL OR LEASE SERVICES OF EQUIPMENT - OFFICE, PHOTOGRAPHIC, PRINTING, RADIO/TELEVISION/TELEPHONE EQUIPMENT",Office supplies and furniture
25500,Decals and stamps,"Bar Code Decals | Bedding Stamps | Cigarette Stamp, Numbered | Decals, All Other Types of Transfer (For Screen Printed see 255-28) | Decals, Heat Transfer | Decals, Pressure Sensitive Adhesive | Decals, Screen Printed | Decals, Water Transfer Type (For Cigarette Machines, Doors, Equipment, Vehicles, Windows, etc.) | Inventory and Other Small Decals | License Plate Decals | Liquor Stamps, Numbered | Recycled Decals and Stamps | Tax Stamps (Other Than Cigarette and Liquor), Numbered and Un-Numbered | Windshield Decals, Not Numbered | Windshield Decals, Numbered",DECALS AND STAMPS,Office supplies and furniture
05200,Art,"Antiques | Ceramic and Glass Objects (Shadow Boxes, Stained Glass, etc.) | Collections, Museum Pieces | Drawings (Originals) (Charcoal Prints, etc.) | Engravings, Etchings, Linocuts, Lithographs, Serigraphs, and Similar Reproductions | Fabric Designs (Silk Screen, etc.) | Masks | Mixed Media | Murals, Canvas | Murals, Clay | Murals, Glass | Murals, Photographic: Kiln Fired, Image Sublimation | Murals: Stone, Tile | Murals, Wall | Paintings (Originals) (Oil, Acrylic, Water Color, etc.) | Photographs | Posters and Prints (Not Originals) | Recycled Art Objects | Sculptures: Marble, Metal, Plastic, etc. | Wood Carvings and Woodcuts",ART OBJECTS,"Planning, architecture, and engineering services"
90600 | 96100 | 96200,Architectural services,"Acoustics | Noise Abatement - Architectural Services | Agricultural Development - Architectural Services | Airports (Lighting, Fueling, Navaids) - Architectural Services | Architect Services, Professional | Automation | Controls | Instrumentation - Architectural Services | Buildings - Architectural Design | Building Sanitation - Architectural Services | Cemeteries, Planning and Relocation, Architectural Services | Chemical Processing and Storage - Architectural | Cold Storage | Refrigeration | Fast Freeze - Architectural | Concrete Architectural Services | Corrosion Control | Cathodic Protection | Electrolysis - Architectural | Desalinization (Process and Facilities) - Architectural | Design Build Services | Electronics - Architectural Services | Energy Management - Architectural | Energy Conservation | New Energy Sources (Solar, etc.) - Architectural Services | Environmental - Architectural | Fire Protection - Architectural Services | Fisheries | Fish Ladders - Architectural | Forensic - Architectural | Freight Handling | Materials Handling - Architectural | Gas Systems (Propane, Natural, etc.) - Architectural | General Construction - Architectural | Graphic Design - Architectural | Harbors | Jetties | Piers | Ship Terminal Facilities - Architectural | Heating | Ventilating | Air Conditioning - Architectural Services | Highways | Streets | Airport Pay-Parking Lots - Architectural | Historical Preservation | Industrial Processes | Quality Control | Interior Design, Space Planning, and Exhibits/Displays | Irrigation | Drainage | Flood Control - Architectural | Landscape Architecture | Land Development and Planning - Architectural | Lighting (Interior, Exterior) - Architectural Services | Mining and Minerology - Architectural | Models of Layouts and Buildings to Scale, Architectural | Petroleum and Fuel (Storage and Distribution) - Architectural | Planning, Urban (Community, Regional, Areawide, and State) | Planning, Site (Installation and Project) | Power Generation, Transmission, Distribution - Architectural | Railroad | Rapid Transit | Monorail - Architectural | Recreation Facilities (Parks, Marinas, etc.) - Architectural Services | Recycling Systems - Architectural Design | Security Systems | Intruder and Smoke Detection - Architectural | Sewage Collection, Treatment, and Disposal - Architectural | Solid Wastes | Disposal Systems - Architectural Services | Telecommunications Systems (Telephone, Radio, etc.) - Architectural | Towers - Architectural Services | Tunnels and Subways - Architectural | Utilities (Gas, Steam, Electric) - Architectural | Video Systems Design - Architectural Services | Water Supply, Treatment and Distribution - Architectural","ARCHITECTURAL SERVICES, PROFESSIONAL","Planning, architecture, and engineering services"
90700 | 96100 | 96200 | 91800,Architectural services (non-licensed),"Architectural Services, Non-Licensed (Not Otherwise Classified) | Communications Systems | TV | Microwave | Telephone | Computer | Designing Services | Drafting Services | Engineering Services, Non-Licensed (Not Otherwise Classified) | Geotechnical - Soils | Safety Engineering and Accident Studies | OSHA Studies | Site Assessment and Site Field Observation | Surveying Services (Not Aerial or Research) | Testing Services | Ergonomic Consulting Services | Architectural Consulting | Furnishings Consulting | Landscaping Consulting","ARCHITECTURAL AND ENGINEERING SERVICES, NON-PROFESSIONAL","Planning, architecture, and engineering services"
92500 | 91800,Engineering and engineering consulting services,"Aeronautical/Aerospace Engineering | Agricultural Engineering | Air Conditioning, Heating and Ventilating Engineering | Airports (Lighting, Fueling, Navaids) - Engineering | Biomedical/Engineering | Chemical Processing and Storage/Engineering | Civil Engineering | Concrete Engineering | Cold Storage | Refrigeration | Fast Freeze/Engineering | Corrosion Control | Cathodic Protection | Electrolysis/Engineering | Control Systems Engineering | Dam Engineering | Desalinization (Process and Facilities)/Engineering | Drainage Engineering | Earthquake-Seismic Engineering | Electrical Engineering | Electronic Engineering | Engineer Services, Professional | Energy Management Engineering | Environmental Engineering | Engineering Services (Not Otherwise Classified) | Facilities Design Services, Engineering | Field Engineering | Fire Protection Engineering | Fisheries | Fish Ladders - Engineering | Forensic Engineering | Foundation Engineering | Gas Systems (Propane, Natural, etc.) Engineering | General Construction: Management, Scheduling, Cost Estimation - Engineering | Geological Engineering | Geotechnical Engineering | Harbors | Jetties | Piers | Ship Terminal Facilities - Engineering | Highways | Streets | Airport Pay-Parking Lots - Engineering | Hydroelectric Engineering | Hazardous Waste Engineering Services (Incl. Remedial Investigations and Feasibility Studies for Waste Sites) | Industrial Engineering | Inspecting, General/Engineering | Inspecting, Structural/Engineering | Instrumentation/Engineering | Irrigation | Drainage | Flood Control/Engineering | Land Development and Planning/Engineering | Machine Design/Engineering | Manufacturing Engineering | Mechanical Engineering | Metallurgical Engineering | Mining and Minerology/Engineering | Municipal Engineering | Nuclear Engineering | Ocean Engineering Services | Petroleum and Fuel (Storage and Distribution)/Engineering | Pollution Control Engineering | Power Generation, Transmission, Distribution - Engineering | Railroad | Rapid Transit | Monorail/Engineering | Rate Engineering | Sanitary Engineering | Security Systems | Intruder and Smoke Detection/Engineering | Surveyor Services, Land | Sewage Collection, Treatment, and Disposal/Engineering | Structural Engineering | Telephone Systems/Engineering | Value Engineering and Value Analysis Services, Professional | Traffic and Transportation Engineering | Tunnels and Subways/Engineering | Utilities (Gas, Steam, Electric)/Engineering | Waste Water Treatment Engineering | Water Supply, Treatment, and Distribution/Engineering | Engineering Consulting | Buildings, Structures and Components Consulting | Quality Assurance/Control Consulting | Hazardous Waste Consulting Services (RCRA) | Air Pollution Consulting | Energy Conservation Consulting | Environmental Consulting | Geological Consulting and Study | Lakes, Rivers, and Other Waterway Management Consulting Services","ENGINEERING SERVICES, PROFESSIONAL","Planning, architecture, and engineering services"
92600 | 96100 | 96200 | 91800,Environmental and ecological services,"Air Pollution Control Services (Including Data Collection Research and Development, etc.) | Air Quality Monitoring Services | Auditing Services, Environmental | Contaminated Groundwater Services (Including Discharge Pipe Installation) | Contaminated Soil Services | Ecological Services | Ecosystems Development, Management and Protection Services | Environmental Services (Not Otherwise Classified) | Gas Analysis Services | Hazardous Material and Waste Services (Including Nuclear Wastes) | Hydraulic Push Probe (Geoprobe) Services | Impact Studies, Environmental | Industrial Hygiene Testing Services | Investigation Services, Pollution | Lead and Asbestos Inspection Services | Noise Testing Services | Oil and Petroleum Spill Services (Including Removal of Used Petroleum Products) | Oil/Water Separator Inspection and Testing Services | Permitting Services, Environmental | Planning and Advisory Services, Environmental | Radiation Dosimeter Services | Radioactive Waste Disposal Services | Recycling Services | Remediation Services, Environmental (Including Rehabilitation Services) | Safety Services, Environmental | Site Assessment, Environmental | Soil Pollution Services | Soil, Soil Vapor, and Groundwater Sampling and Analysis (Including Disposal) | Storm Water Discharge Testing Services | Subsurface Testing, Environmental | Tank Testing and Disposal Services, Storage (Including Underground Types) | Testing and Monitoring Services for Air, Gas, and Water | Water Pollution Services | Water/Wastewater Conservation Services | Wetland Delineations | Emergency Environmental Consulting | Decontamination Services (Incl. Hazardous Material Decontamination) | Energy Comprehensive Performance Services (A Complete Conservation Program) | Environmental Impact Studies | Hydrological and Oceanography Services | Weather Forecasting Services | Dump Site Services (Resource Recovery)",ENVIRONMENTAL AND ECOLOGICAL SERVICES,"Planning, architecture, and engineering services"
99200 | 96100,Equipment testing and calibration services,"Automotive and Road Equipment Testing and Calibration Services | Ballistics Testing Services | Biological Testing Services | Chemical Testing Services (For Laboratory Testing, See 962-22) | Concrete Testing Services | Core Sample (Not Concrete) Testing Services | Electronic and Electrical Cable Testing Services | Gaseous Fuel Tank Testing Services, Vehicular | Medical Equipment Testing and Calibration Services (Not X-Ray) | Miscellaneous Testing and Calibration Services | Office Equipment Testing Services | Oil Field Equipment Testing Services | Paint Testing Services | Pressure Testing Services (Fuel Tanks, Pressure Tanks, etc) | Radar Equipment Testing and Calibration Services | Radio Instrument Testing and Calibration Services | Scientific Equipment Testing and Calibration Services | Textile Testing Services | Underground Leak Testing Services | Video Instrument Testing and Calibration Services | X-Ray Equipment Testing and Calibration Services | Satellite Global Information Positioning System Services | Scanning and Testing for Electrical Hot-Spots, etc. | Telemetry Services",TESTING AND CALIBRATION SERVICES,"Planning, architecture, and engineering services"
96100 | 91800,"Planning, development, and surveying services","Global Positioning Systems Surveying Services | Industrial Development and Planning Services | Zoning, Land Use Studies | Mapping Services (Including Cartography and Surveying Services, Not Aerial)(See 920-33 for Digitized Mapping Services) | Marking and Stenciling Services | Economic Development, Domestic and Foreign | Economic Impact Studies | Appraisals Consulting | Community Development Consulting | Disadvantage Business Enterprise (DBE) and Historically Underutilized Business (HUB) Consulting Including Technical Assistance | Economy Consulting | Housing Consulting | Real Estate/Land Consulting (Including Land Survey Consultin | Urban Planning Consulting | Traffic Consulting | Transportation Consulting",,"Planning, architecture, and engineering services"
96800 | 96100 | 96200 | 91800,Public works related services,"Back Flow Preventer Testing Services | Corrosion Control Services | Crushing, Screening, etc. of Stone and Other Road Materials | Ditch Maintenance | Dredging Services | Dust Control Watering | Foundry Services | Graffiti Removal Services | Incinerator Services | Inspection Services, Construction Type | Leaf, Bush, Tree Limb Collection | Meter Reading Services | Parking Meter Services (Including Collection, Installation, and Removal) | Pavement Marking Services (Including Removal of Markings) | Pavement Data Collection Services | Relocation and/or Removal Services for Utility Works | Response and Recovery Services, Roadway Incident | Right of Way Services (Including Title, Appraisal, Negotiation, Closing, Relocation, Condemnation, etc.) | Sandblasting Services (See 910-83 for Sandblasting of Buildings) | Solid or Liquid Waste Disposal (Including Management Services) (See 926-45 for Hazardous Waste Disposal) | Snow and Ice Removal Services | Storm Drain Cleaning, Repair, and Sludge Removal Services | Street Sweeping Services | Streetscaping Services | Street Light Maintenance and Repair | Tank Installation, Removal, Disposal, and Related Services (Including Underground Type) | Telephone (Utility, Light) Pole Installation, and Relocation Service | Traffic Sign Installation and/or Removal Services | Traffic Sign Maintenance and Repair | Traffic Signal Installation | Traffic Signal Maintenance and Repair | Traffic Control Services (To Include Placement and Removal of Control Devices) | Traffic Counting Services | Tree and Shrub Removal Services | Traffic Studies and Analysis Services | Vehicle Towing and Storage | Water Supply Analysis, Infrastructure Analysis, Water Quality Analysis, and Long Term Planning | Water Supply Plant Operating and Monitoring System Services (Including Water Resources Development and Water Quality Management Services) | Well Pointing Services (Dewatering) | Waterproofing Systems and Repair | Wastewater Treatment Plant, Operations, Testing, and Maintenance | Water and Wastewater Treatment Services | Wrecking and Removal Services | Sign Painting Services | Sign Making Services | Utility Services, Electric, Gas, Water | Water and Petroleum Pipeline Services | Cesspool Cleaning and Maintenance | Chemical Treatment of Boiler and Tower Water | Leak Detection Services: Gas, Water, Chemical | Utility Locator Service (Underground) | Video Scanning of Sewers, Waterwells, etc. | Utilities: Gas, Water, Electric Consulting",PUBLIC WORKS AND RELATED SERVICES,"Planning, architecture, and engineering services"
97900,"Rental and lease: engineering, hospital, laboratory, and precision instruments","Chemical Laboratory Equipment and Supplies Rental or Lease | Controlling, Indicating, and Recording Instrument Rental or Lease | Engineering Equipment and Supplies Rental or Lease | First Aid and Safety Equipment (Including Manikins and Models) Rental or Lease | Furniture, Hospital - Specialized, Rental or Lease | Hospital Equipment - General, Rental or Lease | Hospital Equipment - Invalid, Rental or Lease | Laboratory Equipment and Accessory Rental or Lease: For General and Analytical Research Use, Nuclear, Optical, Physical | Laboratory Equipment and Accessories, Specialized, Rental or Lease: Biochemistry, Biology, etc. | Refrigeration Equipment and Accessory Rental or Lease | Scales and Weighing Apparatus Rental or Lease | Testing and Training Apparatus, Instruments, and Machines Rental or Lease | X-Ray Equipment, Medical, Rental or Lease","RENTAL OR LEASE SERVICES OF EQUIPMENT - ENGINEERING, HOSPITAL, LABORATORY, PRECISION INSTRUMENTS, REFRIGERATION, SCALES","Planning, architecture, and engineering services"
30500,"Surveying, drafting and engineering supplies","Blades, Gouges, Knives, Needle Files, Routers, etc. | Calculators (Programmed for Surveying Systems; for Office Type See Class 600) | Cloths, Films, and Papers (Special): Cross Section, Graph, Log, Profile, Tracing, etc. | Cloths, Films, and Papers (Stock): Cross Section, Graph, Log, Profile, Tracing, etc. | Cloths, Films, and Papers, Reproduction Types | Covers (For Drafting and Drawing Boards) | Data Books and Tables, Engineering and Surveying | Direct Print Supplies, Dry Process | Direct Print Supplies, Wet Process | Distance Measuring Equipment (Incl. Measuring Wheels) | Drafting and Drawing Instruments (See 204-71 for Graphic Plotters) | Drafting and Drawing Pencils, Pens, Leads, Lead Holders, etc. | Drafting Machines and Scales | Drafting Supplies: Brushes (Dust and Wash), Cleaning Pads and Power, Paper Shears, Paper Weights, Steel Erasers, Transparent Protective Film and Tape, etc. | Drawing Boards, Curves, Protractors, Templates, Triangles, T-Squares, etc. | Drafting Paper | Duplicator Paper: Blue Print, Brown Print, and White Print | Duplicator Paper, Chemicals, and Supplies (For Diazo Process Copying Machines) | Duplicators: Blue Print, Brown Print, Diazo Process, White Print, etc. | Engineering Supplies, Miscellaneous | Erasers and Erasing Machines, Electric | Field Books, Engineers' | Field Equipment: Arrows, Bush Knives, Flags and Flagging, Hand Levels, Leveling Rods, Machetes, Plumb Bobs, Pocket Transits, Range Poles, etc. | Graphic Art Type Supplies | Lettering Equipment (Automatic Letter or Character Generating Devices) | Lettering Equipment (Hand Manipulated): Guides, Pens, Sets, etc. | Magnifying Glasses, Angle Mirrors, Prisms, Stereoscopes, etc. | Maps, Engineer and Topographical | Measuring Equipment: Chains, Maps, Optical Tapes, Tapes, Wheels, etc. (Including Photogrammetry and Laser Equipment) | Measuring Equipment, Area (Large Scale) | Opaquing and Transparentizing Liquids, Erasing Fluids, and Pastes | Planimeters | Recycled Engineering Equipment, Accessories and Supplies | Signage and Logos, Architectural (Glass, Photographic, Stone, Tile) | Slide Rules | Straightedges | Surveying Instruments and Accessories: Alidades, Compasses, Levels, Theodolites, Transits, Tripods, etc. | Surveying Systems, Geo/Satellite Navigation Type | Tables, Tracing and Light | Technical Pens and Sets, Points and Refills, etc.","ENGINEERING EQUIPMENT, SURVEYING EQUIPMENT, DRAWING INSTRUMENTS, AND SUPPLIES","Planning, architecture, and engineering services"
96100 | 92100,Animal care services,"Geese Control Services | Veterinary Services | Animal Care, Animal Health, Animal Shelter, Animal Production (Breeding), Animal Training Services, etc. (Including Pet Services, All Types) | Animal Trapping Services | Disposal and Removal, Dead Animals | Distribution and Collection of Waste Food for Animals",,Public safety supplies and services
08000,"Badges, name tags, and awards","Badges, Buttons, Emblems, and ID Cards, Celluloid and Plastic: Student, Faculty, Membership, Employee, etc. | Badges and Emblems, Metal: Cap, Game Wardens', Officers', Service Awards, Uniform, etc. | Card Holders, All Types (See Class 578 for Metal) | Convention Badges and Name Tags, Adhesive Back | Convention Badges and Name Tags, Nonadhesive type | Fasteners (For Badges, etc.): Metal, Plastic, etc. | Folders, Presentation | Nameplates, Metal, Adhesive Back | Nameplates, Metal, Nonadhesive | Nameplates, Plastic | Nameplates, Specialty (Including Clocks, Logos, Pen/Pencil Sets, etc.) | Ribbons and Rosettes (Awards) | Recycled Awards, Convention Items, Trophies, etc. | Service Awards, Specialty Type | Tags: Luggage, Security, Identification | Tags, Metal, Adhesive Back: Inventory, Property, Tool, etc. | Tags, Metal, Nonadhesive: Inventory, Property, Skiff, Seine Trawl, etc. | Tags, Pet Identification | Trophies, Plaques, Awards, etc. (Not Otherwise Classified)","BADGES, EMBLEMS, NAME TAGS AND PLATES, JEWELRY, ETC.",Public safety supplies and services
26900,Drugs and pharmaceuticals,"Anesthetics, Local | Antagonists, Heavy Metal | Antihistamine Drugs | Anti-infective Agents | Antineoplastic Agents | Autonomic Drugs | Blood Derivatives | Blood Formation and Coagulation | Cardiovascular Drugs | Central Nervous System Agents | Contraceptives | Diagnostic Agents | Electrolytic, Caloric, and Water Balance | Enzymes | Expectorants, Antitussives, and Mucolytic Agents | Eye, Ear, Nose, and Throat Preparations | Gastrointestinal Drugs | Gold Compounds | Herbal Drugs | Hormones and Synthetic Substitutes | Miscellaneous Drugs and Pharmaceuticals (Not Otherwise Classified) | Muscle Relaxants, Smooth | Oxytocics | Radioactive Pharmaceuticals | Recycled Drugs and Pharmaceuticals | Serums, Toxoids, and Vaccines | Skin and Mucous Membrane Agents | Therapeutic Agents, Unclassified | Vitamins | Miscellaneous Drugs and Pharmaceuticals",DRUGS AND PHARMACEUTICALS,Public safety supplies and services
34000,Fire protection equipment and supplies,"Backfiring and Burning Equipment: Firing Torches, Flame Guns, etc. | Brackets, Clamps and Holders for Fire Fighting Equipment | Breathing Equipment for Firemen | Cabinets and Covers (For Fire Extinguishers, Fire Hose and Racks, Valves, etc.) | Chemicals, Fire Retardant (Used to Make Various Materials Fire Retardant) | Couplings, Fire Hose | Ejectors, Smoke | Fire and Medical Alert Systems | Fire Alarm Systems, Power Sirens, and Controls | Fire Blankets | Fire Detecting Equipment | Fire Escapes and Fire Exit Devices | Fire Extinguishers, Rechargers, and Parts | Fire Extinguisher Systems, Complete, All Types (See Item 28 for Individual Extinguishers) | Fire Hose Carts, Dryers, Racks, Reels and Rollers, etc. | Fire Protection Clothing (Turnout Coats, Bunker Pants, Hoods, Gloves, etc.) | Fire Pump, Back Carrying Type | Fire Suppression Hand Tools: Fire Axe, Fire Rack, Fire Swatter, etc. | Fire Suppression Foam and other Suppression Compounds | Firefinder, Forest | Fireman Training and Instructional Aids and Materials | Flail Trencher | Foam Dispensing Equipment, Compressed Air (For Fires) | Foam Generators, Truck or Trailer Mounted | Fusible Links (For Fire Doors) | Gas Detection/Monitoring Equipment (Firemen) | Hose, Fire, and Fittings, Coupled and Uncoupled (See 340-12 for Couplings) | Hydrants, Fire (Including Accessories and Parts) | Ladders, Fire | Nozzles, Fire Hose and Parts | Poles and Stanchions | Recycled Fire Protection Equipment and Supplies | Rescue Equipment, Supplies and Accessories Including Rescue Nets, Power Extractors (Jaws of Life), Rope and Life Harnesses, etc. | Smoke Bombs and Candles, Forestry | Smoke Detecting Equipment | Sprinkler Heads and Systems | Swivels and Swivel Joints | Training Equipment and Supplies, Fire and Safety | Valves, Fire Hose | Vise, Fire Extinguisher, Pneumatic Belt | Washing Equipment for Face Masks, etc.",FIRE PROTECTION EQUIPMENT AND SUPPLIES,Public safety supplies and services
34500,First aid and safety equipment,"Air Bags, Rescue Lifting Systems | Asbestos Abatement Equipment and Supplies | Chemical Light, Emergency | Clothing and Belts, Safety (Not Automotive)(See 345-79 for Reflective Type) | C.P.R. Equipment and Supplies (See 345-68 For Models) | Detectors and Parts, Dust and Gas | Emergency Showers and Wash Stations | Extraction Equipment for the Removal of Exhaust Gases and Other Vapors from Buildings (OSHA) | Fall Protection Equipment and Accessories (For the Climber's Protection from Falls (See 445-83 for Pole and Tree Climbing Equipment) | Fireproof Curtains | First Aid Blankets, Stretchers, etc. | First Aid Cabinets, Kits, and Refills | First Aid and Safety Teaching Equipment and Supplies: Charts, Manuals, Posters, Safety Placards, Safety Training Videos, etc. | Gloves, Safety: Electrician's, Lineman's, etc. (Including Sleeves) | Hats and Helmets, Safety | Head, Ear, Eye and Face Protection | Labels, Warning | Lockout and Tagout Safety Kits and Supplies | Manikins and Models, First Aid and Safety Teaching | Masks, Filters, and Parts: Dust and Gas | Personal Distress Warning Devices | Personal Protective Equipment (PPE), (Bloodborne Pathogen Protection), Not Listed Elsewhere | Recycled First Aid and Safety Equipment and Supplies | Reflective Safety Apparel and Accessories (See 345-08 for Non-Reflective Type) | Respiratory Protection Equipment and Parts (Including CPAP Equipment and Parts) | Resuscitators and Parts (Including Portable Rescue Units) | Scissors, First Aid and Paramedic | Shoe Chains (For Icy and Slippery Surfaces) | Vest, Safety | Wipes for Safety Equipment",FIRST AID AND SAFETY EQUIPMENT AND SUPPLIES (EXCEPT NUCLEAR AND WELDING),Public safety supplies and services
43000,"Gases, gas containers, and equipment","Containers (For Liquefied Gases), Large Dewars (For Laboratory Sizes See Class 175) | Filters, Natural and LPG Gas | Gas Cylinder Carts, Clamps, and Stands, Hospital and Laboratory Type | Gas Cylinders, Empty, Commercial Sizes | Gases, Radioactive Counting: Methane, PR-Gas, Q-Gas, etc. | Gas Distribution Equipment, Components and Fittings | Gas Mixtures, Special Purpose | Gas Regulators, Gauges, Fittings, and Parts | Laboratory Gases: Argon, Carbon Dioxide, Helium, Hydrogen, Nitrogen, etc. | Medical Gases (For Anesthesia and Respiration Therapy): Carbon Dioxide, Cyclopropane, Nitrous Oxide, (Pure) Oxygen, etc. | Noble (Inert) Gases: Argon, Helium, Krypton, Neon, Radon, Xenon | Pure (Elemental) Gases (Not Otherwise Classified) | Purifiers (For Gases): Soda Lime, etc. | Rare or Highly Purified Gases (For Research Uses, etc.) | Recycled Gases and Containers | Sterilizing Gases: Ethylene Oxide, etc. | Welding and Industrial Gases: Acetylene, Argon, Carbon Dioxide, Oxygen, etc.","GASES, CONTAINERS, EQUIPMENT: LABORATORY, MEDICAL, AND WELDING",Public safety supplies and services
43500,Germicides and cleaners for healthcare personnel,"Antimicrobial Solutions, Topical: Surgical Prep, etc. | Benzalkonium Chloride, USP (Aqueous Solution) | Detergent, Surgical Scrub, All Types | Detergent-Disinfectant, Phenolic Type, Liquid | Detergent-Disinfectant, Iodophor Type | Detergent-Disinfectant, Quaternary Ammonium Type | Disinfestation Equipment and Supplies (for Ambulances, Hospital Rooms, etc.) | Instrument Sterilizing Solution, Hospital | Recycled Detergents, Disinfectants and Cleaners for Health Care Personnel | Skin Cleansers: Emollient, Nonalkaline, etc. | Skin Cleaners, Antimicrobial: Emollient, Nonalkaline, etc. | Soap, Surgical Scrub | Whirlpool Additives, Antimicrobial","GERMICIDES, CLEANERS, AND RELATED SANITATION PRODUCTS FOR HEALTH CARE PERSONNEL",Public safety supplies and services
