TYPE OF CONTRACT,CONTRACT,PA,COMPANY,SERVICE,EXPIRATION,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,NOTES
County,6931**,PR,TRIANGLE SYSTEMS,PQ CONTRACT FOR FORMS PRINTING SERVICES,2015-09-30,49999,300 BILMAR DRIVE,"PITTSBURGH, PA 15205",joel@triangle-systems.com,Joel Gramling,412-937-9656,412-937-9708,
County,7029**,EP,CARL'S TREE SERVICE,PRUNING AND REMOVAL OF TREES (PRE-QUAL),2015-03-31,50642,3908 HOMESTEAD-DUQUESNE ROAD,"WEST MIFFLIN, PA 15122",carlstreeservice@hotmail.com,Joseph Visnesky,412-466-3539,412-466-5660,
County,7324*,PR,GREENSTAR PGH. LLC,PROCESSING OF RECYCLABLE MATERIALS,,,,,,,,,
County,7356*,PR,PENN DETROIT DIESEL,REPAIRS TO ONAN & GENERAC,,,,,,,,,
County,i3006,WC,"MCGANN & CHESTER, LLC",TOWING SERVICES FOR CITY VEHICLES,2014-09-30,48938,19 LATTAVO DR,"NEW CASTLE, PA 16105",,Wayne Ryan,724-656-1234,724-658-4003,
County,i3088,WC,"BERNIES PHOTO CENTER, INC.",PHOTOGRAPHIC EQUIPMENT AND SUPPLIES,2014-12-31,49492,525 EAST OHIO STREET,"PITTSBURGH, PA 15212",bruce817@yahoo.com,Bruce Klein,412-231-1717,412-231-1217,
County,i3088,WC,B & H FOTO AND ELECTRONICS CORP,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES,2014-12-31,49492,420 NINTH AVENUE,"NEW YORK, NY 10001",govedbids@bhphotovideo.com,Eric Berkowitz,212-239-7500,212-239-7509,
County,i3107,EP,WEST PUBLISHING CORPORATION,ONLINE LAW ENFORCEMENT INFORMATION RESEARCH DATABASE SYSTEM,2015-04-30,49691,610 OPPERMAN DRIVE,"EAGAN, MN 55123",karla.snellings@thomsonreuters.com,Karla Snellings,703-219-2502,703-219-2538,
County,i3129,WC,SEE SPEC #7347,STEAM CLEANING SOLUTION,2014-11-30,49879,"1401 FORBES AVE, SUITE 300","PITTSBURGH, PA 15219",g.spencer11@verizon.net,Gregory Spencer,412-281-6903,412-281-6906,
County,i3132,PR,WINNER INTERNATIONAL,OLEORESIN CAPSICUM SPRAY,2015-11-30,50084,,,,,,,
County,i3137,PR,TRI-DIM FILTER,AIR FILTERS,2014-10-31,50548,PO BOX 466,"LOUISA, VA 23093",c.replogle@tridum.com,Chuck Replogle,412-551-0086,408-351-7857,
County,i3138,EP,"CIS OFFICE INSTALLERS and REFURBISHERS, INC.","OFFICE SYSTEMS INSTALLATION AND SERVICES, ETC.",2015-11-04,49945,4903 OLD WILLIAM PENN HIGHWAY,"MONROEVILLE, PA 15146",jgilmore@cisinstallers.com,Jim Gilmore,724-733-4486,724-733-3667,
County,i3139,WC,MOBILEASE MODULAR SPACE,RENTAL OF PORTABLE CLASSROOM TRAILER-FIRE,2014-12-06,50012,137 CROWN POINT ROAD,"WEST DEPTFORD, NJ 08086",brian@mobileasemodular.com,Peter Barton,856-686-9600,856-686-9240,
County,i3140,EP,JADELL MINNIEFIELD CONSTRUCTION,TRUCK RENTAL FOR VARIOUS CITY LOCATIONS (NON-CD AREAS),2015-12-31,50017,5005 SECOND AVENUE,"PITTSBURGH, PA 15207",jmcsi@verizon.net,Odell Minniefield Jr.,412-421-2185,412-421-2184,
County,i3141,EP,"USA MOBILITY WIRELESS, INC. dba SPOK",RENTAL OF POCKET PAGERS,2016-01-31,50063,6850 VERSAR CENTER DRIVE,"SPRINGFIELD, VA 22151",gov.sales@usamobility.com,Government Sales,443-305-6145,877-351-0872,
County,i3157,WC,HOUGH AND HOUGH FARMS,INFIELD MIX (COUNTY SPEC),2014-12-31,50718,118 TIETZE ROAD,"SMITHTON, PA 15479",keithih@msn.com,James Hough,724-872-9442,724-872-1017,
County,i3159,PR,SHANNON SAFETY PRODUCTS,PRESCRIPTION SAFETY GLASSES SERVICES,2014-08-31,50201,368 COMMERCIAL ST.,"BRIDGEVILLE, PA 15017",gcgallaway,Greg Galloway,412-257-4700,412-257-4400,
County,i3164,EP,SMG-DAVID L LAWRENCE CONVENTION CENTER,MEETING/TESTING FACILITY RENTAL,2015-06-30,50194,1000 FORT DUQUESNE BLVD,"PITTSBURGH, PA 15219",dsmucker@pittsburghcc.com,Debbie Smucker,412-325-6174,,
County,i3171,EP,"ZIPCAR, INC.",AUTOMATED VEHICLE SHARING SERVICES II,2015-09-30,50240,25 FIRST STREET,"CAMBRIDGE, MA 02141",thauber@zipcar.com,Todd Hauber,412-288-2563,212-691-0107,
County,i3180,WC,SPLASH WATER SPORTS,SCUBA SUPPLIES,2015-09-30,50327,2905 BANKSVILLE ROAD,"PITTSBURGH, PA 15216",Lauren@splashws.com,Lauren Hirsch,412-531-5577,412-531-1960,
County,i3180,WC,DIVE RESCUE INTERNATIONAL,SCUBA SUPPLIES,2015-09-30,50327,201 N. LINK LANE,"FORT COLLINS, CO 80524",lmeininger@diverescueintl.com,Linda Meininger,800-248-3483,970-482-0893,
County,i3185,EP,SAL CHEMICAL,CALCIUM CHLORIDE (non-liquid),2015-11-30,50362,3036 BIRCH DRIVE,"WEIRTON, WV 26062",bids@salchem.com,Lisa Jack,304-748-8200,304-797-8751,
County,i3186,PR,MOBILE RADIO SERVICES,VEHICLE OUTFITTERS,2014-12-31,50435,,,,,,,
County,i3187,EP,"TRI-TECH FORENSICS, INC","EVIDENCE COLLECTION SUPPLIES, EQUIPMENT, ACCESSORIES, ETC.",2015-02-28,50515,4019 EXECUTIVE PARK BLVD. SE,"SOUTHPORT, NC 28465",cspec@tritechusa.com,Eric Barton,910-457-6600,910-457-0094,
County,i3188,EP,"UNIVERSAL MEDICAL SERVICES, INC.",REPAIRS TO MEDICAL EQUIPMENT,2014-12-31,50413,823 THIRD AVENUE,"BEAVER FALLS, PA 15010",pemckenna@umsmedical.com,Patricia Mckenna,800-523-7671,724-846-6421,
County,i3190,WC,UNIVAR USA,ELEMENTAL CHLORINE,2015-12-31,50685,328 BUNOLA RIVER ROAD,"BUNOLA, PA 15020",Skip.Michalski@univarusa.com,Skip Mihalski,412-382-2948,412-384-4050,
County,i3191,EP,WEST CENTRAL EQUIPMENT LLC,ADDITIONAL LAWN AND GARDEN TOOLS/SUPPLIES,2015-11-30,50511,3159 STATE ROUTE 119,"NEW ALEXANDRIA, PA 15670",dhartman@westentraleq.com,Daryl Hartman,814-793-2109,814-793-4235,
County,i3191,EP,"FLETCHER SALES AND SERVICE, INC.",ADDITIONAL LAWN AND GARDEN TOOLS/SUPPLIES,2015-11-30,50511,315 FLETCHER LANE,"GREENSBURG, PA 15601",sales@fletchersale.com,Frank Fletcher,724-837-8156,724-834-5277,
County,i3196,WC,SPLASH WATER SPORTS,SERVICE OF SCUBA EQUIPMENT,2015-03-31,50599,2905 BANKSVILLE ROAD,"PITTSBURGH, PA 15216",Lauren@splashws.com,Lauren Hirsch,412-531-5577,412-531-1960,
County,i3209,EP,"E.H. GRIFFITH, INC.",TORO COMMERICAL PARTS,2014-12-31,50762,2250 PALMER STREET,"PITTSBURGH, PA 15218",sales@ehgriffith.com,David Guerin,800-245-1224,412-271-2614,
County,i3210,EP,DON FARR MOVING & STORAGE,MOVING SERVICES,2015-09-30,50802,4920 BUTTERMILK HOLLOW ROAD,"WEST MIFFLIN, PA 15122",donfarr@donfarrmoving.com,Maxine Lukas,412-469-9700,412-469-2740,
County,i3211,EP,K-7 PARKING CO.,MONTHLY LEASE PARKING,2015-09-30,50927,"ONE BIGELOW SQUARE, SUITE 605","PITTSBURGH, PA 15219",emindach@k7parking.com,Chris Mindach,412-471-1007,,
County,i3221,EP,"E.H. GRIFFITH, INC.","REPAIRS TO SMALL MACHINERY, TOOLS, AND EQUIPMENT, ETC. II",2016-09-30,50822,2250 PALMER STREET,"PITTSBURGH, PA 15218",sales@ehgriffith.com,David Guerin,800-245-1224,412-271-2614,
County,i3223,EP,"JUMPING JUMPEROO, LLC",RENTAL OF AMUSEMENT RIDES & EQUIPMENT,2015-07-31,50874,2314 MONROEVILLE ROAD,"MONROEVILLE, PA 15146",jumpingjumperoo@yahoo.com,Carolyn Brown,412-584-0219,412-584-0219,
County,i3223,EP,MIKE THE BALLOON GUY AND COMPANY LLC,RENTAL OF AMUSEMENT RIDES & EQUIPMENT,2015-07-31,50874,7708 ABBOT STREET,"PITTSBURGH, PA 15221",miketheballoonguy@gmail.com,Michael Evans,412-371-4899,412-371-0333,
County,i3226,WC,T.R. LAST COMPANY,"HAY, GRAIN AND FEED",2015-09-14,50951,1020 ROBB HILL ROAD,"OAKDALE, PA 15071",mark.rosen@modspace.com,Mark Rosen,800-523-7918,,
County,i3230,WC,ORKIN PEST CONTROL SERVICES,RODENT BAITING VACANT / DEMO'ED PROPERTY,2016-11-09,50938,255 MILLERS RUN ROAD,"BRIDGEVILLE, PA 15017",Branch647@rollins.com,Michele Dindak,412-2574127,412-257-4418,
County,i3237,WC,"BERNIES PHOTO CENTER, INC.",PHOTOGRAPHIC EQUIPMENT AND SUPPLIES,2015-12-31,51082,525 EAST OHIO STREET,"PITTSBURGH, PA 15212",bruce817@yahoo.com,Bruce Klein,412-231-1717,412-231-1217,
County,i3237,WC,B & H FOTO AND ELECTRONICS CORP,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES,2015-12-31,51082,420 NINTH AVENUE,"NEW YORK, NY 10001",govedbids@bhphotovideo.com,Eric Berkowitz,212-239-7500,212-239-7509,
County,i3237,WC,TRI STATE CAMERA,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES,2015-12-31,51082,150 SULLIVAN ST.,"BROOKLYN, NY 11231",bid@trisatecamera.com,Shmaya Friedlander,212-633-2290,212-633-2392,
County,i3238,WC,GLOBAL VISION EYEWEAR CORPORATION,PRESCRIPTION SAFETY GLASSES SERVICES,2015-12-14,51109,5760 N. HAWKEYE COURT SW,"GRAND RAPIDS, MI 49509",jordan@globalvision.us,Robert Jordan,616-583-8383,,
County,7407,WC,NORTH EASTERN UNIFORMS,"UNIFORMS (POLICE, ETC.)",2017-12-31,51181,125 S 51ST STREET,"PITTSBURGH, PA 15201",bkenny@neuniforms.com,Brad Kenny,412-784-0900,412-784-3600,
County,7430,WC,GARLAND / DBS INC,ROOFING SUPPLIES AND SERVICES (US COMMUNITIES,2017-12-31,51180,3800 EAST 91ST STREET,"CLEVELANAD, OH 44105",bwygal@garlandind.com,Brett Wygal,724-841-8623,770-528-1154,
County,7362,WC,APPROVED TOILET RENTALS,RENTAL OF PORTABLE TOILETS,2017-12-14,51183,P.O. BOX 531,"ELLWOOD CITY, PA 16117",toilets@zoominternet.net,Jerry Schaffer,724-752-1408,724-752-2803,
County,i3247,EP,"FLETCHER SALES AND SERVICE, INC.",LAWN AND GARDEN TOOLS/SUPPLIES: CONVERTIBLE WALK BEHIND TRACTORS,2016-01-31,51182,315 FLETCHER LANE,"GREENSBURG, PA 15601",sales@fletchersale.com,Frank Fletcher,724-837-8156,724-834-5277,
A-BID,A-070-09,EP,"BROWN BAG DELI, INC.",CATERING SERVICES,2015-06-30,48626,"741   5TH AVENUE, CHATHAM CENTER II","PITTSBURGH, PA  15219",brown_bag_deli@verizon.net,Barry Fuss,412-471-3354,412-566-1755,
A-BID,A-070-09,EP,ITALIAN SPECIALTY AND GOURMET CATERING,CATERING SERVICES,2015-06-30,48626,1015 BROOKLINE BOULEVARD,"PITTSBURGH, PA  15226",bill@is-catering.com,Bill Blefere,412-551-1255,412-341-9090,
A-BID,A-070-10,EP,STRICTLY BUSINESS CATERING (SBCFOODS LLC),CATERING SERVICES,2015-06-30,48626,713 MAIN STREET,"PITTSBURGH, PA 15215",sbcfoods@aol.com,Clinton Bleil,412-906-7703,412-449-0111,
A-BID,A-055-12,WC,LAZZARO'S,CONCESSIONAIRE SERIVCES - SCHENLEY PARK ICE RINK,2015-09-30,49813,102 A FIRST STRET,"TRAFFORD, PA  15085",atschenley@yahoo.com,Dolores Lazzaro,412-576-6858,,
A-BID,A-070-09,EP,MITCHELL'S RESTAURANT,CATERING SERVICES,2015-06-30,48626,304 ROSS STREET,"PITTSBURGH, PA  15219",jim@mitchells.tv,Jim Mitchell,412-512-8099,412-471-9808,
A-BID,A-112-14,EP,"""O"" RING & ASSOCIATES, INC",MAINTENANCE OF BAUER COMPRESSORS,2017-09-30,50801,5363 ROUTE 36,"COOLSRING, PA 15730",rbeatty@breathingair.com,Robert Beatty,814-938-5489,814-938-3929,
A-BID,A-070-11,EP,"ACORN SERVICES, INC.",CATERING SERVICES,2015-06-30,49581,3553 WEST CHWESTER PIKE #401,"NEWTOWN SQUARE, PA 19073",robert.lepera@acornfood.com,Robert LePera,610-664-2291,610-664-1661,
A-BID,A-228-14,EP,AIR SCIENCE CONSULTANTS,WEATHER SERVICES AGREEMENT,2015-06-30,50713,347 PRESTLEY RD,"BRIDGEVILLE, PA  15017",airsci@skywatchweather.com,Stan Penkala,412-221-6000,412-221-3160,
A-BID,A-070-09,EP,PITTSBURGH COMMUNITY KITCHEN,CATERING SERVICES,2015-06-30,50779,1323 FORBES AVENUE,"PITTSBURGH, PA 15219",tshoenberger@ckpgh.org,Tod Shoenberger,412-780-6352 ,412-471-2909,
A-BID,A-045-14,PR,JAMES L. SMITH AGENCY,ALCOA- NORTH SHORE PARCEL # INSURANCE,2015-10-31,50831,,,,,,,
A-BID,A-047-14,PR,JAMES L. SMITH AGENCY,CAMERA PLACEMENT INSURANCE ,2015-06-30,50786,,,,,,,
A-BID,A-083-14*,PR,OMNI BY DESIGN,BOOKBINDING SERVICES ,2015-06-30,50830,,,,,,,
A-BID,A-100-14,PR,GREENSTAR PGH LLC,SALE OF RECYCLABLE MATERIAL (Interim),2014-09-30,50216,,,,,,,
A-BID,A-190-14,PR,JAMES L. SMITH AGENCY,ERRORS & OMISSIONS Insurance (EMS),2015-06-30,50787,,,,,,,
A-BID,A-280-13,PR,GRIMES INTERIORS,RESTORE/REHABILITATE CITY COUNCIL FURNITURE,2014-10-30,50466,,,,,,,
B-BID,B-004-10**,EP,"NELSON TREE SERVICE, INC","PRUNING & REMOVAL OF TREES, ETC.",2015-03-31,48592,1463 SIMONTON ROAD,"ASHLAND, OH  44805",mnichols@nelsontree.com,Aaron Blower / Molly Nichols,419-929-8000,877-900-7016,
B-BID,B-154-09,PR,"TBE, INC. DBA SONITROL SECURITY SYSTEMS",SECURITY SYSTEM INSTALLATION/MONITORING,2014-12-30,48192,611 MELWOOD AVENUE,"PITTSBURGH, PA  15214",bweiss@sonitrol.com,Bernard Weiss,412-681-6701,412-681-6828,
B-BID,B-004-10**,EP,BENTLEY TREE CARE,"PRUNING & REMOVAL OF TREES, ETC.",2015-03-31,48492,9353 ROUTE 20,"RIPLEY, NY 14775",taylortree@wny.twcbc.com,Bill Bentley,716-736-3763,716-736-2630,
B-BID,B-028,BK,DOLLAR THIFTY HERTZ,(SERVICE AGREEMENT)(CONTRACT FOR RENTAL VEHICLES),Mo. To Mo.,46268,483 OLD FALLS BLVD.,"NORTH TONAWANDA, NY 14120",Jbruckner@hertz.com,Jeannette Bruckner,412-979-8751, ,
B-BID,B-004-10**,EP,DAVEY TREE EXPERT COMPANY ,"PRUNING & REMOVAL OF TREES, ETC.",2015-03-31,48491,207 FREEDOM DRIVE,"LAWRENCE, PA  15055",miles.stephens@davey.com,Miles Stephens,724-746-8852,724-746-8693 ,
B-BID,B-004-10**,EP,BARTLETT TREE EXPERT CO,"PRUNING & REMOVAL OF TREES, ETC.",2015-03-31,48490,180 BILMAR DR. SUITE 6,"PITTSBURGH, PA  15205",rvrboncic@bartlett.com,Richard Vrboncic,412-922-9916,412-922-9917,
B-BID,B-004-10**,EP,ARBOREL TREE SERVICE,"PRUNING & REMOVAL OF TREES, ETC.",2015-03-31,49010,983 ROUTE 910 ,"ALLISON PARK, PA  15101",rob@arborel.com,Robert Kruljac,412-953-1955,412-767-4502,
County Housing Authority,1353,WC,"STEINBERGER FLOORS, INC.",FLOOR COVERING SERVICES,2015-06-30,49621,1611 RAILROAD ST.,"HEIDLEBERG, PA  15106",,David Steinberger,,412-276-6655,
CWCOG,MV-15,WC,DAY FLEET SALES (CWCOG),VEHICLES & EQUIPMENT,2015-10-27,50791,1600 GOLDEN MILE HIGHWAY,"MONROEVILLE, PA  15146",dayfleet@yahoo.com,Mike Viscusi,724-327-0900,724-327-6294,
ELA,ELA-36-12,,SPENCER MANUFACTURING,2000GPM PUMPER FIRE APPARATUS,2015-09-30,42277,165 VETERANS BOULEVARD,"SOUTH HAVEN, MI   49090", ,Grant Spencer,269-637-8721,269-639-1697,
ELA,ELA-21-13,,TRANSEDGE TRUCK CENTER,REFUSE CAB AND CHASSIS,2015-12-31,42369,1501 BEAVER AVENUE,"PITTSBURGH, PA  15233",,Jeffrey Cumming,412-237-6000,412-322-3883,
ELA,ELA-32-14-2,,PIERCE MANUFACTURING,AERIAL FIRE TRUCK,2015-12-31,42369,2600 AMERICAN DRIVE,"APPLETON, WI",jim.sim@glickfire.com,Jim Sims,412-848-0474,724-733-1169,
ELA,ELA-5-13,,THREE RIVERS HARLEY DAVIDSON,EMS MOTORCYCLES,2014-04-01,41730,1463 GLENN AVENUE,"GLENSHAW, PA  15116",Joe@threeriversharley.com,Joe Homolek,412-487-3377,412-486-2669,
ELA,ELA 22-12,,BEAVER VALLEY TRUCK,PACKER BODY,2014-12-31,42004,17 FERRY STREET,"LEETSDALE, PA  15056",defino@bvtc-online.com,Ken Defino,724-251-0500,724-251-0114,
ELA,ELA-54-14,,CENTURY INDUSTRIES,SHOWMOBILE STAGE,2015-06-30,42185,299 PRATHER LANE,"SELLERSBURG, IN  47172",,Michelle McRae,812-246-3371,812-246-5446,
ELA,ELA 17-12,,PFUND SUPERIOR SALES,TYPE III AD AMBULANCE,2015-03-31,42094,221 CHESTER DRIVE,"LOWER BURRELL, PA  15068",tpfund@pfundsuperior.com,Terry E. Pfund,724-339-1600,724-339-7509,
ELA,ELA 22-12,,MCNEILUS,PACKER BODY,2015-12-31,42369,,,,,,,
GSA,GS-35F-0143R,,SYNNEX ,INFORMATION TECHNOLOGY,2014-11-28,50807,,,,,,,
GSA,GS-07F-0094W,,THE YODOCK WALL COMPANY,"TOTAL SOLUTIONS FOR LAW ENFORCEMENT, SECURITY, FACILITIES MANAGEMENT,  FIRE, RESCUE, CLOTHING, MARIEN CRAFT AND EMERGENCY DISASTER RESPONSE",2014-11-15,50823,,,,,,,
GSA,GS-07F-0741N,,MSA SYSTEMS INTEGRATION,"Total Solutions for Law Enforcement, Security, Facilities management, Fire, Rescue, clothing, Marine Craft and Emergency Disaster Response.",2018-08-13,51150,9 MURRAY ST 2nd FLOOR,"NEW YORK, NY  10007-2258",ebuyrfq@gsa.gov,,,,
Lackawanna,01E60812,EP,see costars 3 for CDW,MICROSOFT LICENSING,2014-06-04,47883,,"CHICAGO, IL",tonymin@cdw.com,Tony Minasola,,847-968-1570,
PBOE,,WC,W.L. ROENIGK,PUPIL TRANSPORTATION AGREEMENT,2016-06-30,48006,798 EKASTOWN ROAD,"SARVER, PA  16055",,W.L. Roenigk,,,
PBOE,,WC,VARIOUS,CLASSROOM SUPPLIES,2018-12-31,50569,,,,,,,
Philadelphia,140098,PR,UNI-SELECT USA,TIRE SNOW CHAINS AND ACCESSORIES,2015-07-31,50549,901 N. LENOLA RD. ,"MOORESTOWN, NJ 08057",jstrecker@uniselect.com,Jim Strecker,800-257-7952x1044,800-723-1377,
STATE,4400012531,EP,ECOLAB (formerly 4400014236) ,DISHWASHING CHEMICALS,2016-03-31,48497,PO BOX 905327,"CHARLOTTE, NC", , ,800-321-1804,717-612-3105,last updated 5/1/14
STATE,4400007199,EP,"DELL MARKETING, LP",ENTERPRISE SOFTWARE,2015-12-31,48836,ONE DELL WAY RR8-6,"ROUND ROCK, TX   78682",,Andrew Bogle,215-679-4446,215-679-5053,
STATE,4600015438,EP,AMERICAN ROCK SALT,SODIUM CHLORIDE (ROAD SALT),2015-07-31,50737,PO BOX 190,"MT. MORRIS, NY  14510",customerservice@americanrocksalt.com,Christine Tandy,888-762-7258,585-243-7676,
STATE,4400008504,WC,SEE CONTRACT FOR LIST OF VENDORS,CONSTRUCTION EQUIPMENT - PA-DOT SPEC'D,2015-07-31,50005,PO BOX 45,"RED HILL, PA  18076-0045",,Doug Angle,,,
STATE,4400004712,WC,IMMIX TECHNOLOGY,IMMIX TECHNOLOGY - GSA PA,2016-03-02,49753,"13861 SUNRISE VALLEY DR., STE 400","HERNDON, VA  20171",,Edward Abbot,856-470-6609,,
STATE,4400010380,WC,BUSINESS RECORDS MANAGEMENT,SHREDDING SERVICES,2015-04-30,49910,370 WABASHA STREET N.,"SAINT PAUL, MN  55102", ,George Farrell, , ,
STATE,6100015189,PR,UNISELECT USA,AFTERMARKET PARTS,2015-06-30,50303,901 N. LENOLA RD.,"MOORESTOWN, NJ   08057",jstrecker@uniselect.com,Jim Strecker,800-257-7972,,
STATE,4400010318,EP,AT&T CORP,WIRELESS COMMUNICATIONS SERVICE,2017-10-31,50067,1018 WESTERN AVENUE,"PITTSBURGH, PA  15233",,John Gross,412-322-7652,651-293-2682,
STATE,4400011038,EP,CONTRACT ENDED BY STATE,SNOW PLOWS - PA-DOT SPEC'D,2015-06-30,50253,55 GLENLAKE PKWY NE,"ATLANTA, GA  30328",Jreen@ups.com,John Reen,717-756-2499,,
STATE,4400004760,WC,ERSI (ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE),GIS SOFTWARE AND SERVICES,2015-06-30,49029,359 EAST PARK DRIVE,"HARRISBURG, PA  17111-2730",kreichenbach@rohrerbus.com,John Reen,800-735-3900,717-957-0158,
STATE,4400007627,EP,SEE CONTRACT FOR LIST OF VENDORS,BODY ARMOR  (Was 4400001860),2015-11-14,49007,PO BOX 100,"DUNCANNON, PA  17202",,Kay Reichenbach,,,
STATE,6100017908,WC,SEE CONTRACT FOR LIST OF VENDORS,TWO-WAY RADIO EQUIPMENT & ACCESSORIES ,2016-09-30,46005,211 HOUSE AVE.,"CAMP HILL, PA  17011",Kim.Sowers@ipaper.con,Kim Sowers,800-321-1804,800-493-9250,
STATE,4400010317,EP,"T-MOBILE USA, INC",WIRELESS COMMUNICATIONS SERVICE,2017-10-31,50068,1 AT&T WAY,"BEDMINSTER, NJ 07921",jgross@businessrecords.com,Kyle Lenker,412-321-0600,412-321-5152,
STATE,4400013622,WC,UNITED PARCEL SERVICE,SMALL PACKAGE DELIVERY ,2017-03-11,50919,55 GLENLAKE PKWY NE,"ATLANTA, GA  30328",mebaer@ups.com,Maureen Baer,717-329-0049,,
STATE,4400010315,EP,VERIZON WIRELESS,WIRELESS COMMUNICATIONS SERVICE,2017-10-31,50070,3329 STREET ROAD,"BENSALEM, PA  19020",shane.brody@t-moblie.com,Rick Eisenberg,267-240-6359,,
STATE,4400013638,WC,XPEDX,JANITORIAL SUPPLIES,2015-12-31,51039,211 HOUSE AVE.,"CAMP HILL, PA  17011",,Rick Whitcomb,717-612-6124,,
STATE,4400010316,EP,"SPRINT/NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC.",WIRELESS COMMUNICATIONS SERVICE,2017-10-31,50069,12920 SE 38TH STREET,"BELLEVUE, WA 98006",kl564h@att.com,Shane Brody,717-303-9729,,
STATE,6100015189,PR,GENUINE PARTS CO.,AFTERMARKET PARTS,2015-06-30,50303,500 THIRD AVE.,"DUNCANSVILLE, PA  16635-0309",tonenill@QCMP.com,Tim O'Neill,,,
STATE,4400010292,WC,SEE CONTRACT FOR LIST OF VENDORS,POLICE LIGHTING AND ACCESSORIES,2015-11-30,50024,4642 JONESTOWN ROAD,"HARRISBURG, PA  17109",,William Smeltzer,,,
STATE,4600015506,EP,"POTTERS INDUSTRIES, LLC",GLASS BEADS   ,2016-11-30,51096,PO BOX 841,"VALLEY FORGE, PA  19482",,Yvonne D. Harris,800-552-3237,610-408-9723,
STATE,6350,PR,SEE CONTRACT FOR LIST OF VENDORS,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",2017-10-31,50023,,, ,, , ,
STATE,4400004480,EP,SEE CONTRACT FOR LIST OF VENDORS,MASTER IT SERVICES ITQ,1999-12-31,48017,,, ,, , ,
STATE,4400004713,WC,DLT SOLUTIONS (ORACLE),DLT SOLUTIONS (ORACLE),2017-04-01,48377,380 NEW YORK ST,"REDLANDS, CA   92373-8118",Andrew_Bogle@Dell.com,,,,
STATE,4600022998*,PR,SEE CONTRACT FOR LIST OF VENDORS,CRACK & JOINT SEALING MATERIALS,2017-10-31,,,,yvonne.harris@pottersbeads.com,,610-651-4714,610-408-9723,
STATE,5610-37,EP,SEE CONTRACT FOR LIST OF VENDORS,BITUMINOUS STOCKPILE PATCHING MATERIAL (COLD MIX),2016-08-31,50933,,,,,,,
STATE,4400004270,WC,SEE CONTRACT FOR LIST OF VENDORS,COMMERCIAL LAUNDRY EQUIPMENT,2015-03-31,49585,,,,,,,
STATE,4400006326,EP,"MCI WORLDCOM, d/b/a VERIZON",IT & COMMUNICATIONS EQUIPMENT & SERVICES,2016-10-30,49082,,,,,,,
STATE,4400006847,WC,"TRIMBLE NAVIGATION, LTD",SURVEYING INSTRUMENTS AND GPS,2015-03-31,50723,5475 KELLENBURGER RD,"DAYTON, OH   45424",,,,,
STATE,4400008393,WC,LEXISNEXIS,ONLINE LEGAL RESEARCH,2015-06-30,50765,9443 SPRINGBORO PIKE,"MIAMISBURG, OH  45342",,,678-694-3946,866-960-4770,
STATE,4400009324,EP,SEE CONTRACT FOR LIST OF VENDORS,LAB SUPPLIES AND EQUIPMENT,2015-12-31,49634,,,,,,,12/5 e/m state
STATE,4400009327,PR,(SEE LIST OF VENDORS),COMMERCIAL FURNITURE,2015-04-30,49750,,,,,,,
STATE,4400009664,WC,SEE CONTRACT FOR LIST OF VENDORS,SIGN LANGUAGE INTERPRETATION,2017-06-30,50001,,,,,,,
STATE,4400010323,EP,SEE CONTRACT FOR LIST OF VENDORS,TRAFFIC CONTROL EQUIPMENT,2015-09-30,50722,,,,,,,
STATE,4400011212,WC,TWO VENDORS,"MOTOR OIL, LUBRICANTS, ANTIFREEZE AND DEF",2015-05-31,51025,,,,,,,
STATE,4400011350,WC,SEE CONTRACT FOR LIST OF VENDORS,AGRICULTURAL/GROUNDSKEEPING-TYPE POWER EQUIPMENT,2015-09-30,50381,,,,,,,
STATE,4400011411,WC,SEE CONTRACT FOR LIST OF VENDORS,CONSTRUCTION / HEAVY DUTY TYPE POWER EQUIPMENT,2015-09-30,50383,,,,,,,
STATE,4400011824,WC,SEE CONTRACT FOR LIST OF VENDORS,CARPET AND ITS INSTALLATION,2015-09-30,50382,,,,,,,
STATE,4400011918,WC,SEE CONTRACT FOR LIST OF VENDORS,COMMERCIAL GRADE FOODSERVICE EQUIPMENT,2015-11-30,50570,,,,,,,
STATE,4400013168,PR,SEE CONTRACT FOR LIST OF VENDORS,LESS LETHAL AND DUTY GEAR,2016-04-30,50711,,,,,,,
STATE,4400013672,WC,SEE CONTRACT FOR LIST OF VENDORS,PASSENGER VEHICLES,2015-08-31,51011,,,,,,,
STATE,4400014059,WC,SEE CONTRACT FOR LIST OF VENDORS,WORK GLOVES,2015-12-31,51040,,,,,,,
STATE,4600009099,WC,P.I.B.H.,CRACK & JOINT SEALING MATERIALS,1950-12-31,45882,,,,,800-331-8118,972-875-9038,
STATE,4600014232,WC,STATE INDUSTRIAL PRODUCTS,DILUTION CONTROL CHEMICALS,2015-03-31,48582,1509 S. KAUFMAN STREET,"ENNIS, TX 75119",,,,,
